Volcano,Start,End,Max Explosivity
Fernandina,1961-03-21,1961-09-16,2
Wolf,1963-03-04,1963-03-16,0
"Negra, Sierra",1963-04-13,1963-05-16,2
"Azul, Cerro",1967-08-09,None,2
Fernandina,1968-05-21,1968-05-23,2
Fernandina,1968-06-11,1968-07-04,4
Fernandina,1972-06-04,None,0
Fernandina,1973-12-09,1973-12-16,2
Fernandina,1977-03-23,1977-03-27,1
Fernandina,1978-08-08,1978-08-26,2
"Azul, Cerro",1979-01-29,1979-03-04,2
"Negra, Sierra",1979-11-13,1980-01-14,3
Fernandina,1981-08-01,None,0
Wolf,1982-08-28,1982-09-06,1
Fernandina,1984-03-30,None,1
Fernandina,1988-09-14,1988-09-16,2
Fernandina,1991-04-19,1991-04-24,2
Marchena,1991-09-25,1991-11-16,2
Alcedo,1993-12-05,None,1
Fernandina,1995-01-25,1995-04-08,2
"Azul, Cerro",1998-09-15,1998-10-21,1
Fernandina,2005-05-13,2005-05-29,2
"Negra, Sierra",2005-10-22,2005-10-30,3
"Azul, Cerro",2008-05-29,2008-06-17,1
Fernandina,2009-04-10,2009-04-28,2
Wolf,2015-05-25,2015-07-16,4
Fernandina,2017-09-04,2017-09-07,2
"Azul, Cerro",2017-03-10,None,0
Fernandina,2018-06-16,2018-06-21,1
"Negra, Sierra",2018-06-26,2018-08-23,2
Fernandina,2020-01-12,2020-01-13,0
Wolf,2022-01-06,2022-04-14,2